x,y,z,nx,ny,nz,sk
6.4364714984e-01,-2.1211540070e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.3488000307e-03
-7.6661151373e-01,-9.1255264164e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.2744000392e-03
6.8114128136e-01,-6.7502344732e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.3680000401e-03
4.8080235732e-01,8.5226107535e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.7128000340e-03
1.0000000000e+00,3.6098826138e-01,-4.3932806450e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2968000302e-03
9.3201355835e-01,-1.2187465797e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.0888000283e-03
-7.0427461189e-01,-6.0289240307e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.6920000339e-03
7.5693864200e-01,-4.8876208292e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.9832000365e-03
3.7958614157e-01,-5.3364696454e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.9104000359e-03
8.9446617169e-03,6.7307919940e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.6312000241e-03
1.0000000000e+00,-6.3034045806e-02,-1.4757247052e-01,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0264000278e-03
-9.3632481916e-01,-1.0000000000e+00,-9.3608100764e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.4112000313e-03
-1.1005446904e-01,6.6151901088e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4216000314e-03
-7.9387169325e-01,-4.0212591219e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.3488000307e-03
-1.1325477178e-01,1.6158526309e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,3.4424000316e-03
6.5599235288e-01,5.6277316278e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,2.8704000263e-03
1.0000000000e+00,-6.4827910396e-01,-9.7889295401e-02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9848000274e-03
-6.5382695558e-01,9.6549003401e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,4.0144000368e-03
5.5503834582e-01,-6.4542983625e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,2.8496000261e-03
9.8067504478e-01,6.7787710817e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,4.0768000374e-03
-6.8843666359e-01,-8.3969099054e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.4632000318e-03
-1.0000000000e+00,8.3852470710e-01,5.4184589741e-02,-1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5880000329e-03
6.1711121919e-01,1.0000000000e+00,-2.7089700596e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,3.4840000319e-03
-9.0285662851e-01,4.9241072448e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.2552000299e-03
-1.4792540248e-03,6.7517189271e-02,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.4112000313e-03
-1.1405915693e-01,8.7127926847e-01,1.5000000596e-01,0.0000000000e+00,-0.0000000000e+00,1.0000000000e+00,2.7248000250e-03
1.0000000000e+00,-1.7396982511e-01,2.0460068431e-02,1.0000000000e+00,0.0000000000e+00,-0.0000000000e+00,3.3072000303e-03
7.0452363309e-01,7.6225587906e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.2448000298e-03
5.1774857687e-01,-2.6498773216e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.5776000328e-03
-3.5427321705e-02,-1.0000000000e+00,-2.6584301504e-02,0.0000000000e+00,-1.0000000000e+00,0.0000000000e+00,3.1928000293e-03
6.9114097066e-02,1.1561126285e-01,-1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,-1.0000000000e+00,3.1616000290e-03
7.1765508415e-01,1.0000000000e+00,1.3976026133e-02,0.0000000000e+00,1.0000000000e+00,-0.0000000000e+00,3.9936000366e-03
-1.2946526908e-02,-9.0610068424e-01,1.5000000596e-01,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,4.2432000389e-03
